C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:01:40

Vmag< 11&dec >=0&rah >=15.75&rah< 16.0
--------------------------------------

Number of objects : 2834

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1   |BD+86 239                                                             |Star                           |15 48 35.2506376512 +85 52 51.536511084|119.6105920494455 +30.0375570976874|   -6.796 9.803   |10.74    |F8             |    ~     ~    
2   |BD+86 240                                                             |Red Giant Branch star          |15 48 38.0439995592 +86 00 52.519579848|119.7206262783083 +29.9439141088220| -11.687 16.441   |9.97     |G8             |    ~     ~    
3   |BD+86 241                                                             |Star                           |15 48 17.2420095144 +86 23 46.360224240|120.0400871167294 +29.6815421575067|  31.078 34.012   |10.77    |G5             |    ~     ~    
4   |BD+86 238                                                             |Double or Multiple Star        |15 48 10.4597085864 +85 48 50.221613412|119.5610514544415 +30.0896232078436|   4.680 -6.230   |10.505   |M              |    ~     ~    
5   |BD+86 242                                                             |Star                           |15 57 36.1052903088 +85 47 44.647168560|119.4098835040341 +29.9759291561375|    6.426 9.205   |8.46     |G8             |    ~     ~    
6   |BD+85 271                                                             |High Proper Motion Star        |15 59 42.8155935144 +85 00 19.060631568|118.6906253610636 +30.4661482786042|16.237 -118.774   |10.61    |G0             |    ~     ~    
7   |TYC 4638-1187-1                                                       |Spectroscopic Binary           |15 59 09.0354413568 +85 07 49.478728080|118.8093638356970 +30.3932215487263|   6.361 -0.160   |10.76    |~              |    ~     ~    
8   |BD+89 32                                                              |Star                           |15 49 26.5226326608 +89 08 54.237186348|122.2575540777790 +27.7340334804520|   -3.676 4.182   |10.31    |F2             |    ~     ~    
9   |BD+89 34                                                              |Star                           |15 47 53.1439904208 +89 13 16.777087572|122.3198480039253 +27.6859964409249|    5.157 6.443   |10.03    |G5             |    ~     ~    
10  |BD+88 99                                                              |Star                           |15 47 17.5387758216 +88 01 30.937418148|121.3715350014923 +28.5409834363564|  10.544 -8.763   |10.11    |G2             |    ~     ~    
11  |BD+87 153                                                             |Star                           |15 47 35.4406349808 +87 23 43.963809576|120.8624915808254 +28.9853091883191| -3.430 -20.708   |10.91    |G5             |    ~     ~    
12  |BD+87 154                                                             |Star                           |15 47 59.1955530864 +87 29 45.651938604|120.9401757058347 +28.9111981927838|    2.677 4.823   |10.45    |G2             |    ~     ~    
13  |BD+87 156                                                             |Star                           |15 47 15.8165823360 +87 34 48.265562604|121.0142916980667 +28.8572095542920| -18.962 33.065   |10.82    |F5             |    ~     ~    
14  |TYC 4642-406-1                                                        |Star                           |15 59 18.8436700992 +87 38 19.489413336|120.9638187716352 +28.7257919504519|  -12.645 2.160   |10.73    |~              |    ~     ~    
15  |TYC 4642-507-1                                                        |Star                           |15 55 52.0371206376 +87 56 03.210949536|121.2372786476238 +28.5502720603749| -15.079 10.892   |10.94    |~              |    ~     ~    
16  |TYC 4642-712-1                                                        |High Proper Motion Star        |15 50 01.5842004696 +87 01 50.668827420|120.5414496532855 +29.2204036802997| -33.693 68.515   |10.85    |~              |    ~     ~    
17  |BD+80 492                                                             |Star                           |15 52 02.8129325064 +79 48 59.202283896|114.2313843636379 +34.0398224384968|  5.171 -33.903   |10.34    |~              |    ~     ~    
18  |BD+80 493                                                             |Star                           |15 52 13.9603892232 +79 47 33.004849092|114.2029430377136 +34.0490697803935|  -11.337 5.766   |9.68     |~              |    ~     ~    
19  |BD+79 476                                                             |Star                           |15 55 42.5952652224 +79 12 28.875797892|113.5372530653065 +34.3008189008289|   -9.499 3.237   |10.14    |G5             |    ~     ~    
20  |BD+79 478                                                             |Star                           |15 58 52.7478649200 +79 02 31.207336584|113.2673113428586 +34.2877694747452|   0.366 -3.206   |9.59     |G5             |    ~     ~    
21  |BD+80 499                                                             |Star                           |15 59 40.8217869384 +80 04 02.335875960|114.2095294090435 +33.6230942325819|   4.456 -5.753   |10.25    |M5/6           |    ~     ~    
22  |TYC 4563-1080-1                                                       |Star                           |15 52 28.7493920160 +79 55 17.792898456|114.3131651605643 +33.9572154968939|   -5.215 1.148   |9.89     |~              |    ~     ~    
23  |TYC 4563-1326-1                                                       |Star                           |15 47 53.8660228176 +79 46 48.607388508|114.3437279341729 +34.2023553719031|  -1.696 -5.699   |10.93    |~              |    ~     ~    
24  |TYC 4563-1473-1                                                       |Star                           |15 56 01.2378822720 +79 37 10.508403468|113.9119106698429 +34.0297289126306|  -19.473 1.332   |10.38    |~              |    ~     ~    
25  |TYC 4563-1507-1                                                       |Star                           |15 59 16.8734158752 +79 33 54.346157172|113.7494035490166 +33.9491185546196|  -6.464 -0.168   |10.91    |~              |    ~     ~    
26  |BD+83 455                                                             |Spectroscopic Binary           |15 47 18.6823461744 +83 16 55.405459740|117.4450303440331 +31.8559279404341| 11.163 -13.226   |10.56    |G0             |    ~     ~    
27  |HD 144060                                                             |Star                           |15 47 36.0906042624 +83 16 25.674225672|117.4310987898876 +31.8554100994786|  16.832 11.418   |8.76     |F5             |    ~     ~    
28  |HD 144268                                                             |Star                           |15 49 37.5733400568 +82 48 24.299998452|116.9783399305161 +32.1282473259506| -14.861 29.698   |8.11     |F5             |    ~     ~    
29  |BD+83 459                                                             |Star                           |15 49 49.1860025616 +83 12 19.715513868|117.3198570264979 +31.8541662735525|  -4.280 -2.911   |10.35    |K0             |    ~     ~    
30  |BD+83 460                                                             |Star                           |15 52 14.6883204336 +82 50 41.505317988|116.9468961192609 +32.0420684297816|   -9.107 3.805   |10.42    |G0             |    ~     ~    
31  |BD+83 463                                                             |Star                           |15 53 49.2887643936 +83 04 52.852477584|117.1171682914481 +31.8487277320669|   3.466 -0.549   |9.17     |M2             |    ~     ~    
32  |HD 145402                                                             |High Proper Motion Star        |15 55 28.8108865680 +82 42 16.164075780|116.7432914688651 +32.0585381682896| -9.637 120.483   |8.84     |G              |    ~     ~    
33  |BD+83 465                                                             |Star                           |15 53 48.6657268296 +83 20 24.819714708|117.3451022796322 +31.6770839825432|  1.088 -21.828   |10.24    |G5             |    ~     ~    
34  |BD+83 466                                                             |Star                           |15 55 41.0485775712 +83 15 19.322439876|117.2278267388749 +31.6922032927542|  -10.969 6.998   |10.56    |K              |    ~     ~    
35  |BD+83 467                                                             |Star                           |15 57 58.5546773928 +83 21 32.507422560|117.2686014588509 +31.5738853026783|   1.330 -2.629   |9.91     |G5             |    ~     ~    
36  |HD 143416                                                             |Star                           |15 45 53.1130507080 +82 22 12.242443980|116.6969433170583 +32.5138457534862|  11.229 -5.772   |8.15     |F0             |    ~     ~    
37  |HD 143835                                                             |Star                           |15 48 19.5856253784 +82 21 10.561695156|116.6165378964343 +32.4661514233128|    2.087 6.658   |8.52     |K2             |    ~     ~    
38  |BD+82 473                                                             |Star                           |15 50 26.0179690200 +81 57 47.581966692|116.2169498271783 +32.6750672029494| 38.385 -13.585   |10.90    |~              |    ~     ~    
39  |BD+82 474                                                             |Star                           |15 55 05.6613807480 +82 00 08.734809852|116.1246162136438 +32.5270994061191|   -6.295 4.279   |10.46    |K0             |    ~     ~    
40  |HD 145709                                                             |High Proper Motion Star        |15 57 21.2102643000 +82 32 51.830543040|116.5566955091497 +32.1150426042853| 61.181 -12.982   |8.08     |G0             |    ~     ~    
41  |BD+81 532                                                             |Star                           |15 45 56.5268876088 +81 16 22.669243428|115.7400368019690 +33.2608188240298|   -3.902 5.892   |9.95     |K2             |    ~     ~    
42  |BD+81 533                                                             |Star                           |15 47 24.7380645096 +81 28 44.006829384|115.8765464208346 +33.0808556462820|   -1.075 9.930   |9.86     |G5             |    ~     ~    
43  |BD+81 534                                                             |Star                           |15 50 25.3070295720 +81 02 56.312180952|115.4032800255417 +33.2833101395668|   -6.321 8.183   |10.07    |K2             |    ~     ~    
44  |BD+81 535                                                             |Star                           |15 52 05.8839615168 +81 02 51.329889780|115.3506334963029 +33.2351853366370| 34.989 -33.796   |10.67    |G0             |    ~     ~    
45  |HD 144511                                                             |High Proper Motion Star        |15 54 26.7835910232 +80 38 21.757600824|114.9069067917577 +33.4299192026421| -32.699 42.612   |8.65     |F              |    ~     ~    
46  |BD+81 537                                                             |Star                           |15 54 53.2807476456 +80 56 24.182363724|115.1680726736825 +33.2223200880167| -35.197 16.420   |9.80     |G0             |    ~     ~    
47  |HD 144800                                                             |Star                           |15 55 34.2053878872 +80 50 22.584129468|115.0554215911680 +33.2663826721557|  -16.914 9.672   |8.22     |A0             |    ~     ~    
48  |BD+81 539                                                             |Star                           |15 56 51.3935471232 +81 24 02.060800452|115.5304038379770 +32.8680074724061|   -4.036 5.465   |10.71    |G5             |    ~     ~    
49  |BD+81 540                                                             |Star                           |15 58 48.2784487008 +80 46 28.422840468|114.8971080007701 +33.2081929147566|  1.223 -15.469   |9.50     |F0             |    ~     ~    
50  |BD+80 497                                                             |High Proper Motion Star        |15 56 41.1004819440 +80 14 06.172317312|114.4628689282379 +33.6172497059271|  -59.251 1.775   |9.01     |G5             |    ~     ~    
51  |TYC 4566-267-1                                                        |Star                           |15 51 14.1597250752 +80 28 07.522344048|114.8542054908112 +33.6409411278758|   -8.375 2.375   |10.00    |~              |    ~     ~    
52  |TYC 4566-291-1                                                        |High Proper Motion Star        |15 56 34.7727077712 +80 18 44.990102664|114.5380851594645 +33.5715024210742| -2.073 -56.440   |9.88     |~              |    ~     ~    
53  |TYC 4566-318-1                                                        |Star                           |15 56 31.0461927000 +80 13 11.578357236|114.4542197632788 +33.6323715833737|  3.662 -11.156   |10.78    |~              |    ~     ~    
54  |TYC 4566-533-1                                                        |Star                           |15 47 35.5228878408 +82 06 01.651352220|116.4162534245973 +32.6555332192416|    6.630 0.289   |10.87    |~              |    ~     ~    
55  |TYC 4566-782-1                                                        |Star                           |15 47 40.4520736272 +80 57 34.743666276|115.4092579146815 +33.4229129810558|  -8.296 -8.660   |10.75    |~              |    ~     ~    
56  |TYC 4634-597-1                                                        |Star                           |15 55 41.3608867344 +82 42 26.466725268|116.7407146991427 +32.0516463021862|   -3.030 7.831   |10.45    |~              |    ~     ~    
57  |BD+84 355                                                             |Star                           |15 58 35.0234666376 +84 14 26.316590604|118.0380204380518 +30.9864203087595| -30.683 21.385   |10.16    |G0             |    ~     ~    
58  |HD 145221                                                             |Star                           |15 51 23.3977604640 +83 54 07.505659836|117.8869686535884 +31.3502790507191| -10.230 21.377   |9.11     |F8             |    ~     ~    
59  |BD+84 353                                                             |Star                           |15 51 16.4630213400 +83 36 16.143625980|117.6322255786782 +31.5536259961397|  26.692 10.807   |10.65    |G5             |    ~     ~    
60  |BD+83 458                                                             |Star                           |15 47 20.8795842480 +83 31 42.745425348|117.6549126575558 +31.6858789793446|    7.102 2.453   |9.86     |G5             |    ~     ~    
61  |BD+83 462                                                             |Star                           |15 51 03.3648388464 +83 33 28.303278660|117.5966878471757 +31.5896000049300|  3.602 -10.627   |10.83    |G5             |    ~     ~    
62  |BD+76 576                                                             |Star                           |15 54 00.7483419144 +76 08 48.796941552|110.6712205598530 +36.2775869463887| -6.408 -14.726   |9.25     |K0             |    ~     ~    
63  |BD+76 581                                                             |Star                           |15 57 14.5256345064 +76 28 44.268198312|110.8530589219606 +35.9237771910499| -0.624 -11.769   |9.91     |K0             |    ~     ~    
64  |TYC 4560-810-1                                                        |Star                           |15 57 08.5900471416 +76 28 46.408220796|110.8579617630532 +35.9280227184969| 17.393 -46.828   |10.94    |F8             |    ~     ~    
65  |TYC 4560-539-1                                                        |Star                           |15 59 53.5952696112 +76 15 09.808413264|110.5137604267560 +35.9340804708240|   5.979 -7.042   |10.68    |~              |    ~     ~    
66  |BD+76 573                                                             |Star                           |15 45 52.9131597816 +75 36 13.800088224|110.5314882225087 +37.0044096913903|-14.273 -36.570   |8.54     |G5             |    ~     ~    
67  |BD+76 574                                                             |High Proper Motion Star        |15 50 13.3621340664 +75 34 44.229831924|110.2940792195054 +36.8107595263325| -73.029 54.491   |9.02     |F5             |    ~     ~    
68  |HD 143684                                                             |Star                           |15 54 24.5030292576 +75 37 56.431805340|110.1467245282010 +36.5729422917315| -32.397 26.743   |8.28     |F0             |    ~     ~    
69  |HD 143703                                                             |Star                           |15 54 23.1216184392 +75 45 18.115117416|110.2689351032826 +36.4993707500705| -21.694 33.277   |8.88     |A2             |    ~     ~    
70  |BD+75 575                                                             |Star                           |15 48 05.3870667912 +75 17 08.707304112|110.1131299083121 +37.0989334589460| -33.182 33.834   |9.12     |F5             |    ~     ~    
71  |BD+75 576                                                             |Star                           |15 50 25.1656786104 +74 36 23.668633764|109.3267922974778 +37.4028786901915|   -9.582 6.518   |10.30    |G5             |    ~     ~    
72  |BD+75 577                                                             |Red Giant Branch star Candidate|15 50 34.7988658440 +74 46 49.100300976|109.4908719014697 +37.2876418107057|   4.334 -2.674   |9.63     |K0             |    ~     ~    
73  |BD+75 578                                                             |Star                           |15 53 54.9924103176 +74 48 46.042468416|109.3558244970219 +37.0944257102016|   3.257 -6.939   |9.13     |K2             |    ~     ~    
74  |* 17 UMi                                                              |Star                           |15 55 01.1000362128 +75 34 27.450267780|110.0606218081643 +36.5780427486429|  17.610 -9.960   |6.88     |G5             |    ~     ~    
75  |TYC 4560-1795-1                                                       |Star                           |15 59 42.8191110096 +75 26 24.585242388|109.7088080358841 +36.4221546863024|   4.307 -9.377   |10.70    |K0             |    ~     ~    
76  |BD+74 639                                                             |Star                           |15 54 58.1197918464 +74 15 57.331340820|108.7531218096811 +37.3658915336439| -14.077 -4.956   |10.09    |K0             |    ~     ~    
77  |BD+74 641                                                             |Star                           |15 55 20.0388304368 +74 14 33.857147580|108.7111312167778 +37.3597246097129|   -8.925 4.837   |9.90     |K5             |    ~     ~    
78  |BD+74 642                                                             |Star                           |15 55 35.6984375544 +74 21 40.228085556|108.8178595073421 +37.2752600324918|  -0.605 14.023   |9.46     |K2             |    ~     ~    
79  |BD+74 645                                                             |High Proper Motion Star        |15 58 06.8554565640 +74 22 11.516764404|108.7012903598543 +37.1329035474483| -96.951 97.453   |9.70     |G5             |    ~     ~    
80  |BD+74 646                                                             |Star                           |15 58 32.7893715336 +74 17 57.180992604|108.6079297220145 +37.1503380340660| -22.540 16.150   |9.29     |F5             |    ~     ~    
81  |BD+74 648                                                             |Star                           |15 58 51.6212477280 +74 04 15.149433756|108.3587586300699 +37.2652918382683|  11.826 -5.805   |9.41     |F5             |    ~     ~    
82  |BD+74 649                                                             |Star                           |15 59 19.5489678024 +74 14 14.520669576|108.5062865175352 +37.1431362051087| -10.820 15.258   |8.75     |K0             |    ~     ~    
83  |TYC 4418-22-1                                                         |Red Giant Branch star Candidate|15 58 46.8594669960 +73 59 19.880719836|108.2785884160764 +37.3171469293221|   7.148 -1.695   |9.49     |~              |    ~     ~    
84  |TYC 4418-98-1                                                         |Double or Multiple Star        |15 59 54.592752 +74 27 31.79412        |108.704316261 +36.983050282        |      -2.1 24.3   |10.283   |~              |    ~     ~    
85  |TYC 4418-525-1                                                        |Star                           |15 57 11.2506980256 +73 59 04.399937088|108.3544826428742 +37.4091067228467| -13.222 37.469   |10.41    |~              |    ~     ~    
86  |TYC 4418-1815-1                                                       |Star                           |15 51 25.2399520128 +74 56 35.244946716|109.6097603486425 +37.1442607124455|  -7.055 -0.299   |10.90    |~              |    ~     ~    
87  |GSC 04418-01831                                                       |Double or Multiple Star        |15 47 55.6722312096 +74 53 38.356863648|109.7383444771009 +37.3529618799556| -13.235 10.677   |10.327   |~              |    ~     ~    
88  |TYC 4560-12-1                                                         |Star                           |15 55 29.2365745560 +75 01 00.557943672|109.4830061690591 +36.8900874836244|   2.037 -1.745   |10.79    |~              |    ~     ~    
89  |TYC 4560-393-1                                                        |Star                           |15 52 54.3114970440 +75 01 24.808608660|109.6158498925512 +37.0189899817904| -6.974 -31.623   |10.86    |~              |    ~     ~    
90  |TYC 4560-715-1                                                        |Star                           |15 55 13.2007777728 +76 25 22.372844448|110.8870449380962 +36.0518984322118|   3.037 13.854   |10.83    |~              |    ~     ~    
91  |TYC 4560-750-1                                                        |Star                           |15 49 41.5687029000 +75 15 19.797041196|110.0036309997912 +37.0384030615192|   5.732 -1.719   |10.69    |~              |    ~     ~    
92  |TYC 4560-790-1                                                        |Star                           |15 53 56.2309041672 +75 15 20.135841588|109.7959738161896 +36.8253868111240|   4.068 12.169   |10.92    |~              |    ~     ~    
93  |TYC 4560-853-1                                                        |High Proper Motion Star        |15 52 40.5333519024 +76 32 33.026874216|111.1170065339822 +36.0951368978891| 57.221 -37.958   |10.32    |~              |    ~     ~    
94  |TYC 4560-965-1                                                        |Star                           |15 54 15.2703081984 +76 50 42.556291800|111.3406836383882 +35.8361511531575|  -12.897 8.061   |10.08    |~              |    ~     ~    
95  |TYC 4560-1050-1                                                       |Star                           |15 53 48.9820840152 +75 43 45.040657440|110.2700589689198 +36.5429021390114| 10.325 -15.561   |10.69    |~              |    ~     ~    
96  |TYC 4560-1293-1                                                       |Star                           |15 58 52.3948726104 +75 36 19.320417504|109.9131003017994 +36.3672995549034|   6.359 27.408   |10.88    |~              |    ~     ~    
