C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:11:42

Vmag< 11&dec< 0&rah >=16.75&rah< 17.0
-------------------------------------

Number of objects : 6792

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
1   |HD 150880                                                                                                |Star                                  |16 45 41.8497143592 -41 09 29.235576996|342.9611842182162 +02.8293649209726|  -1.438 -9.397    |9.72     |G8/K0(III)     |    ~     ~    
2   |HD 150954                                                                                                |Star                                  |16 46 11.0833648824 -41 13 16.078555560|342.9727553661103 +02.7187340889895| -1.175 -18.556    |9.488    |G8III          |    ~     ~    
3   |HD 150974                                                                                                |Star                                  |16 46 15.8524020624 -40 50 18.188014056|343.2742538968462 +02.9554654054209|-19.489 -12.566    |9.16     |A1mA8-A9       |    ~     ~    
4   |HD 151039                                                                                                |Star                                  |16 46 42.7426984896 -41 09 00.499715676|343.0912858506475 +02.6891093254354|   1.372 -2.885    |8.69     |B3III          |    ~     ~    
5   |HD 326003                                                                                                |Pulsating Variable                    |16 46 50.3308524216 -41 10 22.736233956|343.0892725737322 +02.6561794442419|   1.182 -3.162    |9.76     |B9             |    ~     ~    
6   |HD 151063                                                                                                |Star                                  |16 46 49.4824749168 -40 52 28.702693812|343.3153049577679 +02.8512250343930|    8.449 6.795    |9.11     |A1mA7-A7       |    ~     ~    
7   |HD 151096                                                                                                |Star                                  |16 47 02.8508090304 -40 57 26.658991872|343.2793489379912 +02.7655970858296|-18.886 -24.894    |10.04    |F3V            |    ~     ~    
8   |HD 151138                                                                                                |Star                                  |16 47 22.4541362232 -40 51 22.668392844|343.3965443718874 +02.7837958745076|  -4.608 -9.953    |10.65    |A2             |    ~     ~    
9   |HD 151181                                                                                                |Star                                  |16 47 41.0771768448 -40 46 54.272521884|343.4915048979386 +02.7870419821972| -3.382 -11.081    |9.40     |A2II/III       |    ~     ~    
10  |HD 151212                                                                                                |Star                                  |16 47 50.6066732400 -41 08 29.887764756|343.2354807268135 +02.5320616706572|  -1.335 -1.523    |9.63     |B1/2Ib         |    ~     ~    
11  |HD 151211                                                                                                |High Proper Motion Star               |16 47 53.4366014136 -40 58 22.786570812|343.3702743200809 +02.6339725942655|23.433 -111.808    |8.20     |F5V            |    ~     ~    
12  |HD 151399                                                                                                |Star                                  |16 49 02.7070212672 -41 05 58.679263104|343.4133972609815 +02.3858232162951|   -3.963 6.978    |9.365    |K5/M0(III)     |    ~     ~    
13  |HD 326138                                                                                                |Star                                  |16 49 56.3462746008 -41 10 19.979228532|343.4656199119764 +02.2100977362725|  -0.965 -1.779    |10.06    |B3             |    ~     ~    
14  |HD 151931                                                                                                |Star                                  |16 52 18.0066465600 -41 09 14.410837908|343.7630341013792 +01.8792681010163|   0.974 -4.482    |9.87     |A0III/IV       |    ~     ~    
15  |HD 151930                                                                                                |Star                                  |16 52 19.5521138352 -40 58 20.568640008|343.9065706966348 +01.9907632540997|   0.064 -1.422    |10.20    |A              |    ~     ~    
16  |HD 150792                                                                                                |Cepheid Variable                      |16 45 06.5519908032 -41 28 58.750944384|342.6421945398789 +02.7020049151844|   1.448 -2.229    |9.50     |B5/7II         |    ~     ~    
17  |HD 150867                                                                                                |Star                                  |16 45 37.3591853736 -41 36 58.271128452|342.6034821459841 +02.5423954860846|   2.347 -4.404    |9.89     |B4Ib/II        |    ~     ~    
18  |HD 150866                                                                                                |Star                                  |16 45 36.9030482136 -41 17 26.221752240|342.8502589739231 +02.7550658949850| -12.273 -4.616    |9.86     |F0V            |    ~     ~    
19  |HD 326033                                                                                                |Star                                  |16 46 14.4138146784 -41 43 39.291861288|342.5936334302244 +02.3823571714924|  -3.381 -1.960    |10.22    |B3             |    ~     ~    
20  |HD 150991                                                                                                |Eclipsing Binary                      |16 46 26.0369256360 -41 15 00.795668976|342.9809883570279 +02.6642010341650|   1.368 -2.909    |9.41     |B3III          |    ~     ~    
21  |HD 151003                                                                                                |Star                                  |16 46 34.1955926208 -41 36 38.522639052|342.7226567707255 +02.4112366696328|  -1.388 -1.850    |7.09     |O8.5III        |    ~     ~    
22  |HD 326036                                                                                                |Pulsating Variable                    |16 46 43.1087018040 -41 40 44.645444508|342.6885099089370 +02.3458126566249|  -5.235 -7.485    |10.44    |A3             |    ~     ~    
23  |HD 151051                                                                                                |Star                                  |16 46 50.3153382096 -41 28 51.950570736|342.8540917442244 +02.4568430685537|   -0.090 8.179    |7.41     |M2/3II         |    ~     ~    
24  |HD 326004                                                                                                |Star                                  |16 47 02.6893282591 -41 14 17.843968175|343.0644955719209 +02.5843925122701|  0.922 -17.395    |10.4     |B8             |    ~     ~    
25  |HD 326005                                                                                                |High Proper Motion Star               |16 47 04.3197889536 -41 18 45.546541632|343.0110150327180 +02.5324186690212| 48.502 -46.720    |10.08    |K0             |    ~     ~    
