C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:37:14

Vmag< 11&dec >=0&rah >=6.0&rah< 6.25
------------------------------------

Number of objects : 7764

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
1   |BD+89 6                                                                                                  |Star                           |06 02 40.3976325624 +89 25 52.496059908|123.5558940154686 +27.0067686138234|   -3.771 2.802   |10.25    |A3                |    ~     ~    
2   |BD+88 24                                                                                                 |Double or Multiple Star        |06 00 41.359632 +88 14 06.64512        |124.859678058 +26.727501093        |      5.5 -33.2   |10.534   |G0                |    ~     ~    
3   |BD+87 38                                                                                                 |Star                           |06 03 50.2510946832 +87 28 19.882013376|125.6979015321314 +26.5799431544118| -15.058 -0.600   |9.96     |F2                |    ~     ~    
4   |TYC 4630-75-1                                                                                            |High Proper Motion Star        |06 05 43.7702739144 +88 40 23.885253336|124.3895877648950 +26.8578855548941| -17.613 47.937   |10.90    |~                 |    ~     ~    
5   |BD+86 71                                                                                                 |Star                           |06 07 22.1350982688 +86 54 52.752672900|126.3162300534413 +26.4981247574140|   -9.001 1.666   |10.66    |F2                |    ~     ~    
6   |BD+86 72                                                                                                 |Star                           |06 00 12.6264607632 +86 23 29.706376884|126.8564498708573 +26.2739546049995|    0.032 3.694   |9.33     |K2                |    ~     ~    
7   |BD+86 73                                                                                                 |High Proper Motion Star        |06 10 39.4061518752 +86 58 45.491912400|126.2558595338922 +26.5545002223216| 43.688 -76.075   |9.84     |G2                |    ~     ~    
8   |BD+86 74                                                                                                 |Star                           |06 02 45.1393552368 +86 10 34.763189448|127.1004005723957 +26.2606657399620|  20.345 -2.140   |10.63    |G0                |    ~     ~    
9   |BD+85 79                                                                                                 |Star                           |06 03 27.2094349728 +86 00 56.834689536|127.2772950520853 +26.2334187046861|  -2.332 10.670   |9.74     |G5                |    ~     ~    
10  |HD 36905                                                                                                 |Star                           |06 01 20.2735514904 +85 10 55.614634392|128.1652605868208 +25.9866787619703|  14.646 -1.404   |6.115    |M0III             |    ~     ~    
11  |HD 37599                                                                                                 |Star                           |06 06 40.7791229448 +85 17 04.564639068|128.0849330490671 +26.1193753090256|   -3.952 0.786   |7.49     |G5                |    ~     ~    
12  |BD+85 82                                                                                                 |High Proper Motion Star        |06 13 08.2515562248 +85 36 31.226413716|127.7636904556891 +26.3152642657876|-91.192 -106.917  |9.07     |K3V               |    ~     ~    
13  |BD+85 84                                                                                                 |Star                           |06 12 38.3866829064 +85 02 48.544526256|128.3742569828471 +26.1890492011655|    6.697 3.315   |9.56     |G5                |    ~     ~    
14  |BD+84 110                                                                                                |Star                           |06 06 19.7193501768 +84 50 08.173169160|128.5686533972523 +26.0060721023655|   14.345 9.218   |8.71     |G5                |    ~     ~    
15  |BD+84 111                                                                                                |Star                           |06 11 40.3099695816 +84 56 51.058704372|128.4773614393954 +26.1472992786545|  4.256 -12.106   |10.08    |K0                |    ~     ~    
