C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:02:47

Vmag< 11&dec< 0&rah >=21.0&rah< 21.25
-------------------------------------

Number of objects : 3980

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1   |HD 200343                                                             |Star                           |21 04 00.0288619224 -33 16 57.995040972|011.1297498561633 -41.0696338559745| 19.998 -44.459   |10.298   |G3V            |    ~     ~    
2   |HD 200652                                                             |Star                           |21 05 47.8587402480 -33 28 52.367275956|010.9426568684538 -41.4700750824291| -5.893 -34.546   |8.846    |K2II           |    ~     ~    
3   |CD-33 15383                                                           |Star                           |21 05 49.4259813192 -33 25 26.216273784|011.0193233464339 -41.4671356000459|  14.191 -7.019   |9.42     |G5             |    ~     ~    
4   |HD 200201                                                             |Star                           |21 03 03.7311663720 -33 42 30.598135776|010.5332613764420 -40.9397195094399| 11.301 -31.771   |10.30    |G6/8           |    ~     ~    
5   |HD 200234                                                             |Star                           |21 03 14.3934421632 -33 46 12.277682904|010.4597517376592 -40.9852747442962|  0.803 -14.241   |9.757    |K2(III)        |    ~     ~    
6   |CD-34 14828                                                           |Star                           |21 03 43.5882736824 -33 39 29.999090592|010.6258745867984 -41.0690579420324|  -2.023 -9.998   |9.78     |~              |    ~     ~    
7   |HD 200701                                                             |Spectroscopic Binary           |21 06 10.5961515456 -33 36 54.551705976|010.7807768677298 -41.5674579956379| 101.625 -3.075   |9.82     |G3V            |    ~     ~    
8   |CD-34 14829                                                           |Star                           |21 03 49.2985711896 -34 25 49.425841920|009.6146547427464 -41.1970821447807|   11.091 4.255   |10.480   |G5             |    ~     ~    
9   |CD-34 14833                                                           |Star                           |21 04 37.1768425584 -34 21 36.552066444|009.7367039885194 -41.3507624620300|  -7.705 -5.666   |10.08    |K0             |    ~     ~    
10  |HD 200500                                                             |Star                           |21 04 48.9383801112 -33 50 26.998014012|010.4291881474192 -41.3193775842928|   5.717 -6.629   |10.59    |A5II/III       |    ~     ~    
11  |CD-34 14849                                                           |Star                           |21 05 49.9450938672 -34 09 27.192607416|010.0495495497945 -41.5718502342522| 17.271 -23.416   |9.83     |G5             |    ~     ~    
12  |CD-34 14852                                                           |High Proper Motion Star        |21 06 00.7970943240 -33 48 12.233288880|010.5252978088732 -41.5603813648563| 37.678 -53.229   |10.19    |G5             |    ~     ~    
